Area,Type,Case,Year,Data,Unit
British Columbia,Shale,Reference,2008,0,Million cubic metres Per Day
British Columbia,Shale,Reference,2009,2.152913515,Million cubic metres Per Day
British Columbia,Shale,Reference,2010,4.362482649,Million cubic metres Per Day
British Columbia,Shale,Reference,2011,10.33965043,Million cubic metres Per Day
British Columbia,Shale,Reference,2012,11.86935214,Million cubic metres Per Day
British Columbia,Shale,Reference,2013,15.43865613,Million cubic metres Per Day
British Columbia,Shale,Reference,2014,14.73046089,Million cubic metres Per Day
British Columbia,Shale,Reference,2015,11.04784567,Million cubic metres Per Day
British Columbia,Shale,Reference,2016,9.829749865,Million cubic metres Per Day
British Columbia,Shale,Reference,2017,8.385031586,Million cubic metres Per Day
British Columbia,Shale,Reference,2018,7.025296734,Million cubic metres Per Day
British Columbia,Shale,Reference,2019,5.892184357,Million cubic metres Per Day
British Columbia,Shale,Reference,2020,4.929038837,Million cubic metres Per Day
British Columbia,Shale,Reference,2021,6.26044588,Million cubic metres Per Day
British Columbia,Shale,Reference,2022,8.271720348,Million cubic metres Per Day
British Columbia,Shale,Reference,2023,9.489816153,Million cubic metres Per Day
British Columbia,Shale,Reference,2024,12.43590833,Million cubic metres Per Day
British Columbia,Shale,Reference,2025,15.24036146,Million cubic metres Per Day
British Columbia,Shale,Reference,2026,17.13832469,Million cubic metres Per Day
British Columbia,Shale,Reference,2027,17.87484774,Million cubic metres Per Day
British Columbia,Shale,Reference,2028,18.04481459,Million cubic metres Per Day
British Columbia,Shale,Reference,2029,18.0731424,Million cubic metres Per Day
British Columbia,Shale,Reference,2030,18.10147021,Million cubic metres Per Day
British Columbia,Shale,Reference,2031,18.21478145,Million cubic metres Per Day
British Columbia,Shale,Reference,2032,18.21478145,Million cubic metres Per Day
British Columbia,Shale,Reference,2033,18.29976488,Million cubic metres Per Day
British Columbia,Shale,Reference,2034,18.41307612,Million cubic metres Per Day
British Columbia,Shale,Reference,2035,18.24310926,Million cubic metres Per Day
British Columbia,Shale,Reference,2036,18.12979802,Million cubic metres Per Day
British Columbia,Shale,Reference,2037,18.10147021,Million cubic metres Per Day
British Columbia,Shale,Reference,2038,18.04481459,Million cubic metres Per Day
British Columbia,Shale,Reference,2039,18.04481459,Million cubic metres Per Day
British Columbia,Shale,Reference,2040,18.01648679,Million cubic metres Per Day
British Columbia,Coalbed Methane,Reference,2005,0,Million cubic metres Per Day
British Columbia,Coalbed Methane,Reference,2006,0,Million cubic metres Per Day
British Columbia,Coalbed Methane,Reference,2007,0,Million cubic metres Per Day
British Columbia,Coalbed Methane,Reference,2008,0,Million cubic metres Per Day
British Columbia,Coalbed Methane,Reference,2009,0,Million cubic metres Per Day
British Columbia,Coalbed Methane,Reference,2010,22.15458486,Million cubic metres Per Day
British Columbia,Coalbed Methane,Reference,2011,35.00189796,Million cubic metres Per Day
