Area,Type,Case,Year,Data,Unit
Alberta,Non Associated,Reference,2012,102.8016204,Million cubic metres Per Day
Alberta,Non Associated,Reference,2013,94.64321124,Million cubic metres Per Day
Alberta,Non Associated,Reference,2014,88.2127985,Million cubic metres Per Day
Alberta,Non Associated,Reference,2015,83.19877624,Million cubic metres Per Day
Alberta,Non Associated,Reference,2016,78.5813433,Million cubic metres Per Day
Alberta,Non Associated,Reference,2017,74.58712218,Million cubic metres Per Day
Alberta,Non Associated,Reference,2018,70.81952353,Million cubic metres Per Day
Alberta,Non Associated,Reference,2019,67.36353078,Million cubic metres Per Day
Alberta,Non Associated,Reference,2020,64.13416051,Million cubic metres Per Day
Alberta,Non Associated,Reference,2021,61.15974052,Million cubic metres Per Day
Alberta,Non Associated,Reference,2022,58.411943,Million cubic metres Per Day
Alberta,Non Associated,Reference,2023,55.86244016,Million cubic metres Per Day
Alberta,Non Associated,Reference,2024,53.45457636,Million cubic metres Per Day
Alberta,Non Associated,Reference,2025,51.21667941,Million cubic metres Per Day
Alberta,Non Associated,Reference,2026,49.09209371,Million cubic metres Per Day
Alberta,Non Associated,Reference,2027,47.10914705,Million cubic metres Per Day
Alberta,Non Associated,Reference,2028,45.23951163,Million cubic metres Per Day
Alberta,Non Associated,Reference,2029,43.56817087,Million cubic metres Per Day
Alberta,Non Associated,Reference,2030,42.01014136,Million cubic metres Per Day
Alberta,Non Associated,Reference,2031,40.59375089,Million cubic metres Per Day
Alberta,Non Associated,Reference,2032,39.29067165,Million cubic metres Per Day
Alberta,Non Associated,Reference,2033,38.10090366,Million cubic metres Per Day
Alberta,Non Associated,Reference,2034,36.99611909,Million cubic metres Per Day
Alberta,Non Associated,Reference,2035,35.94799014,Million cubic metres Per Day
Alberta,Non Associated,Reference,2036,34.98484462,Million cubic metres Per Day
Alberta,Non Associated,Reference,2037,34.10668253,Million cubic metres Per Day
Alberta,Non Associated,Reference,2038,33.25684825,Million cubic metres Per Day
Alberta,Non Associated,Reference,2039,32.49199739,Million cubic metres Per Day
Alberta,Non Associated,Reference,2040,31.78380216,Million cubic metres Per Day
Alberta,Tight,Reference,2005,101.6968358,Million cubic metres Per Day
Alberta,Tight,Reference,2006,108.7504603,Million cubic metres Per Day
Alberta,Tight,Reference,2007,113.3678933,Million cubic metres Per Day
Alberta,Tight,Reference,2008,112.0081584,Million cubic metres Per Day
Alberta,Tight,Reference,2009,107.4757089,Million cubic metres Per Day
Alberta,Tight,Reference,2010,112.1781253,Million cubic metres Per Day
Alberta,Tight,Reference,2011,114.302711,Million cubic metres Per Day
Alberta,Tight,Reference,2012,114.5010056,Million cubic metres Per Day
Alberta,Tight,Reference,2013,114.7276281,Million cubic metres Per Day
Alberta,Tight,Reference,2014,122.0362029,Million cubic metres Per Day
Alberta,Tight,Reference,2015,132.6591315,Million cubic metres Per Day
Alberta,Tight,Reference,2016,136.3700745,Million cubic metres Per Day
Alberta,Tight,Reference,2017,141.4124246,Million cubic metres Per Day
Alberta,Tight,Reference,2018,145.2650067,Million cubic metres Per Day
Alberta,Tight,Reference,2019,148.777655,Million cubic metres Per Day
Alberta,Tight,Reference,2020,152.0636809,Million cubic metres Per Day
Alberta,Tight,Reference,2021,155.2363956,Million cubic metres Per Day
Alberta,Tight,Reference,2022,158.2108156,Million cubic metres Per Day
Alberta,Tight,Reference,2023,160.9302853,Million cubic metres Per Day
Alberta,Tight,Reference,2024,163.0831988,Million cubic metres Per Day
Alberta,Tight,Reference,2025,164.6412283,Million cubic metres Per Day
Alberta,Tight,Reference,2026,165.7743407,Million cubic metres Per Day
Alberta,Tight,Reference,2027,166.6525028,Million cubic metres Per Day
Alberta,Tight,Reference,2028,167.4173536,Million cubic metres Per Day
Alberta,Tight,Reference,2029,168.3804991,Million cubic metres Per Day
Alberta,Tight,Reference,2030,169.5419393,Million cubic metres Per Day
