Scenario,Region,Type,Year,Data,Unit
Reference,CN,In Situ Bitumen ,2025,312.0430664,Thousand cubic metres
Reference,CN,Total,2025,921.0932451,Thousand cubic metres
Reference,CN,Conventional Light,2026,116.5188735,Thousand cubic metres
Reference,CN,Conventional Heavy,2026,128.4379132,Thousand cubic metres
Reference,CN,C5+,2026,25.32250347,Thousand cubic metres
Reference,CN,Field Condensate,2026,72.00189481,Thousand cubic metres
Reference,CN,Mined Bitumen ,2026,273.6337703,Thousand cubic metres
Reference,CN,In Situ Bitumen ,2026,331.0307339,Thousand cubic metres
Reference,CN,Total,2026,946.9456892,Thousand cubic metres
Reference,CN,Conventional Light,2027,116.1103347,Thousand cubic metres
Reference,CN,Conventional Heavy,2027,127.8453839,Thousand cubic metres
Reference,CN,C5+,2027,26.03105782,Thousand cubic metres
Reference,CN,Field Condensate,2027,75.98770292,Thousand cubic metres
Reference,CN,Mined Bitumen ,2027,275.6244271,Thousand cubic metres
Reference,CN,In Situ Bitumen ,2027,342.9875332,Thousand cubic metres
Reference,CN,Total,2027,964.5864397,Thousand cubic metres
Reference,CN,Conventional Light,2028,118.2378172,Thousand cubic metres
Reference,CN,Conventional Heavy,2028,126.8370194,Thousand cubic metres
Reference,CN,C5+,2028,26.51478456,Thousand cubic metres
Reference,CN,Field Condensate,2028,79.42185801,Thousand cubic metres
Reference,CN,Mined Bitumen ,2028,275.6244271,Thousand cubic metres
Reference,CN,In Situ Bitumen ,2028,352.3266801,Thousand cubic metres
Reference,CN,Total,2028,978.9625864,Thousand cubic metres
Reference,CN,Conventional Light,2029,121.9894678,Thousand cubic metres
Reference,CN,Conventional Heavy,2029,126.445461,Thousand cubic metres
Reference,CN,C5+,2029,26.97743567,Thousand cubic metres
Reference,CN,Field Condensate,2029,83.06539064,Thousand cubic metres
Reference,CN,Mined Bitumen ,2029,275.6244271,Thousand cubic metres
Reference,CN,In Situ Bitumen ,2029,361.7926169,Thousand cubic metres
Reference,CN,Total,2029,995.8947991,Thousand cubic metres
Reference,CN,Conventional Light,2030,124.9723231,Thousand cubic metres
Reference,CN,Conventional Heavy,2030,126.6440423,Thousand cubic metres
Reference,CN,C5+,2030,27.81096493,Thousand cubic metres
Reference,CN,Field Condensate,2030,87.71021987,Thousand cubic metres
Reference,CN,Mined Bitumen ,2030,275.6244271,Thousand cubic metres
Reference,CN,In Situ Bitumen ,2030,377.190013,Thousand cubic metres
Reference,CN,Total,2030,1019.95199,Thousand cubic metres
Reference,CN,Conventional Light,2031,126.1525795,Thousand cubic metres
Reference,CN,Conventional Heavy,2031,127.2413453,Thousand cubic metres
Reference,CN,C5+,2031,28.73838212,Thousand cubic metres
Reference,CN,Field Condensate,2031,92.41495536,Thousand cubic metres
Reference,CN,Mined Bitumen ,2031,275.6244271,Thousand cubic metres
Reference,CN,In Situ Bitumen ,2031,393.7377873,Thousand cubic metres
Reference,CN,Total,2031,1043.909477,Thousand cubic metres
Reference,CN,Conventional Light,2032,126.1517716,Thousand cubic metres
Reference,CN,Conventional Heavy,2032,128.1870772,Thousand cubic metres
Reference,CN,C5+,2032,29.23195778,Thousand cubic metres
Reference,CN,Field Condensate,2032,95.71294832,Thousand cubic metres
Reference,CN,Mined Bitumen ,2032,275.6244271,Thousand cubic metres
Reference,CN,In Situ Bitumen ,2032,400.9598758,Thousand cubic metres
Reference,CN,Total,2032,1055.868058,Thousand cubic metres
Reference,CN,Conventional Light,2033,128.030338,Thousand cubic metres
Reference,CN,Conventional Heavy,2033,128.8222684,Thousand cubic metres
Reference,CN,C5+,2033,29.50771607,Thousand cubic metres
Reference,CN,Field Condensate,2033,98.45053426,Thousand cubic metres
Reference,CN,Mined Bitumen ,2033,275.6244271,Thousand cubic metres
Reference,CN,In Situ Bitumen ,2033,405.2415008,Thousand cubic metres
Reference,CN,Total,2033,1065.676785,Thousand cubic metres
Reference,CN,Conventional Light,2034,130.6811413,Thousand cubic metres
Reference,CN,Conventional Heavy,2034,129.660275,Thousand cubic metres
Reference,CN,C5+,2034,29.81684677,Thousand cubic metres
Reference,CN,Field Condensate,2034,101.3090852,Thousand cubic metres
Reference,CN,Mined Bitumen ,2034,275.6244271,Thousand cubic metres
Reference,CN,In Situ Bitumen ,2034,409.9717673,Thousand cubic metres
Reference,CN,Total,2034,1077.063543,Thousand cubic metres
Reference,CN,Conventional Light,2035,133.3979366,Thousand cubic metres
Reference,CN,Conventional Heavy,2035,130.7796698,Thousand cubic metres
Reference,CN,C5+,2035,30.17599336,Thousand cubic metres
Reference,CN,Field Condensate,2035,104.2493928,Thousand cubic metres
Reference,CN,Mined Bitumen ,2035,275.6244271,Thousand cubic metres
Reference,CN,In Situ Bitumen ,2035,416.257339,Thousand cubic metres
Reference,CN,Total,2035,1090.484759,Thousand cubic metres
Reference,CN,Conventional Light,2036,134.8768838,Thousand cubic metres
Reference,CN,Conventional Heavy,2036,131.7991794,Thousand cubic metres
Reference,CN,C5+,2036,30.53413337,Thousand cubic metres
Reference,CN,Field Condensate,2036,107.0776448,Thousand cubic metres
Reference,CN,Mined Bitumen ,2036,275.6244271,Thousand cubic metres
Reference,CN,In Situ Bitumen ,2036,418.8288127,Thousand cubic metres
Reference,CN,Total,2036,1098.741081,Thousand cubic metres
Reference,CN,Conventional Light,2037,135.1900263,Thousand cubic metres
Reference,CN,Conventional Heavy,2037,133.3390576,Thousand cubic metres
Reference,CN,C5+,2037,30.87767532,Thousand cubic metres
Reference,CN,Field Condensate,2037,109.7687562,Thousand cubic metres
Reference,CN,Mined Bitumen ,2037,275.6244271,Thousand cubic metres
Reference,CN,In Situ Bitumen ,2037,421.4278308,Thousand cubic metres
Reference,CN,Total,2037,1106.227773,Thousand cubic metres
Reference,CN,Conventional Light,2038,135.18357,Thousand cubic metres
Reference,CN,Conventional Heavy,2038,134.4674968,Thousand cubic metres
Reference,CN,C5+,2038,31.21878203,Thousand cubic metres
Reference,CN,Field Condensate,2038,112.4335972,Thousand cubic metres
Reference,CN,Mined Bitumen ,2038,275.6244271,Thousand cubic metres
Reference,CN,In Situ Bitumen ,2038,426.2758127,Thousand cubic metres
Reference,CN,Total,2038,1115.203686,Thousand cubic metres
Reference,CN,Conventional Light,2039,135.234879,Thousand cubic metres
Reference,CN,Conventional Heavy,2039,135.6128129,Thousand cubic metres
Reference,CN,C5+,2039,31.57662012,Thousand cubic metres
Reference,CN,Field Condensate,2039,115.0645216,Thousand cubic metres
Reference,CN,Mined Bitumen ,2039,275.6244271,Thousand cubic metres
Reference,CN,In Situ Bitumen ,2039,430.725282,Thousand cubic metres
Reference,CN,Total,2039,1123.838543,Thousand cubic metres
Reference,CN,Conventional Light,2040,135.1831175,Thousand cubic metres
Reference,CN,Conventional Heavy,2040,136.8420512,Thousand cubic metres
Reference,CN,C5+,2040,31.83168841,Thousand cubic metres
Reference,CN,Field Condensate,2040,117.6266415,Thousand cubic metres
Reference,CN,Mined Bitumen ,2040,275.6244271,Thousand cubic metres
Reference,CN,In Situ Bitumen ,2040,432.8432875,Thousand cubic metres
