province,source,scenario,year,value,unit
BC,total,reference,2024,78804.3571,GW.h
MB,total,reference,2024,41352.0406,GW.h
NB,total,reference,2024,11820.0382,GW.h
NL,total,reference,2024,45239.9595,GW.h
NS,total,reference,2024,6448.2133,GW.h
NT,total,reference,2024,364.508,GW.h
NU,total,reference,2024,121.7654,GW.h
ON,total,reference,2024,136993.6634,GW.h
PE,total,reference,2024,706.8787,GW.h
QC,total,reference,2024,213379.339,GW.h
SK,total,reference,2024,25495.6001,GW.h
YT,total,reference,2024,455.1393,GW.h
all,total,reference,2025,651002.6955,GW.h
AB,total,reference,2025,92711.0048,GW.h
BC,total,reference,2025,82351.903,GW.h
MB,total,reference,2025,41353.3535,GW.h
NB,total,reference,2025,12022.066,GW.h
NL,total,reference,2025,45261.3035,GW.h
NS,total,reference,2025,6514.4369,GW.h
NT,total,reference,2025,364.5081,GW.h
NU,total,reference,2025,122.8168,GW.h
ON,total,reference,2025,128603.8344,GW.h
PE,total,reference,2025,811.9988,GW.h
QC,total,reference,2025,214693.0454,GW.h
SK,total,reference,2025,25737.285,GW.h
YT,total,reference,2025,455.1393,GW.h
all,total,reference,2026,658794.3562,GW.h
AB,total,reference,2026,93859.6755,GW.h
BC,total,reference,2026,83259.7157,GW.h
MB,total,reference,2026,41670.0186,GW.h
NB,total,reference,2026,11837.3221,GW.h
NL,total,reference,2026,45291.3471,GW.h
NS,total,reference,2026,6575.1854,GW.h
NT,total,reference,2026,367.2599,GW.h
NU,total,reference,2026,123.0796,GW.h
ON,total,reference,2026,133954.5674,GW.h
PE,total,reference,2026,811.9988,GW.h
QC,total,reference,2026,214774.3451,GW.h
SK,total,reference,2026,25822.2823,GW.h
YT,total,reference,2026,447.5587,GW.h
all,total,reference,2027,661651.5266,GW.h
AB,total,reference,2027,94929.6395,GW.h
BC,total,reference,2027,84011.4827,GW.h
MB,total,reference,2027,44576.4226,GW.h
NB,total,reference,2027,10014.2685,GW.h
NL,total,reference,2027,43452.7377,GW.h
NS,total,reference,2027,6571.8007,GW.h
NT,total,reference,2027,367.2599,GW.h
NU,total,reference,2027,123.2987,GW.h
ON,total,reference,2027,135176.6504,GW.h
PE,total,reference,2027,811.9988,GW.h
QC,total,reference,2027,214906.3452,GW.h
SK,total,reference,2027,26255.0534,GW.h
YT,total,reference,2027,454.5685,GW.h
all,total,reference,2028,672511.0934,GW.h
AB,total,reference,2028,93659.9622,GW.h
BC,total,reference,2028,86464.6231,GW.h
MB,total,reference,2028,44604.0166,GW.h
NB,total,reference,2028,9736.8038,GW.h
NL,total,reference,2028,43169.1862,GW.h
NS,total,reference,2028,6562.2696,GW.h
NT,total,reference,2028,367.391,GW.h
NU,total,reference,2028,124.2184,GW.h
ON,total,reference,2028,143347.38,GW.h
PE,total,reference,2028,811.9988,GW.h
QC,total,reference,2028,216326.4745,GW.h
SK,total,reference,2028,26879.7509,GW.h
YT,total,reference,2028,457.0183,GW.h
all,total,reference,2029,677091.2103,GW.h
AB,total,reference,2029,95008.5288,GW.h
BC,total,reference,2029,86600.8765,GW.h
MB,total,reference,2029,48969.7206,GW.h
NB,total,reference,2029,9725.1765,GW.h
NL,total,reference,2029,43171.1976,GW.h
NS,total,reference,2029,6757.7638,GW.h
NT,total,reference,2029,370.114,GW.h
NU,total,reference,2029,125.5296,GW.h
ON,total,reference,2029,140405.4765,GW.h
PE,total,reference,2029,811.9988,GW.h
QC,total,reference,2029,217651.885,GW.h
SK,total,reference,2029,27046.9153,GW.h
YT,total,reference,2029,446.0273,GW.h
all,total,reference,2030,686226.0051,GW.h
AB,total,reference,2030,96324.1531,GW.h
