province,source,scenario,year,value,unit
ON,total,reference,2021,147837.1,GW.h
PE,total,reference,2021,766.6348,GW.h
QC,total,reference,2021,216751.4,GW.h
SK,total,reference,2021,24268.82,GW.h
YT,total,reference,2021,535.1064,GW.h
all,total,reference,2022,649519.6,GW.h
AB,total,reference,2022,85394.16,GW.h
BC,total,reference,2022,76047.27,GW.h
MB,total,reference,2022,41822.09,GW.h
NB,total,reference,2022,10567.88,GW.h
NL,total,reference,2022,46180.65,GW.h
NS,total,reference,2022,7703.663,GW.h
NT,total,reference,2022,365.1289,GW.h
NU,total,reference,2022,263.3472,GW.h
ON,total,reference,2022,138630.5,GW.h
PE,total,reference,2022,762.4678,GW.h
QC,total,reference,2022,216877.7,GW.h
SK,total,reference,2022,24329.27,GW.h
YT,total,reference,2022,575.4511,GW.h
all,total,reference,2023,649769.9,GW.h
AB,total,reference,2023,86646.76,GW.h
BC,total,reference,2023,76868.41,GW.h
MB,total,reference,2023,41822.98,GW.h
NB,total,reference,2023,10841.59,GW.h
NL,total,reference,2023,46219.92,GW.h
NS,total,reference,2023,7777.186,GW.h
NT,total,reference,2023,367.7275,GW.h
NU,total,reference,2023,268.7851,GW.h
ON,total,reference,2023,136251.2,GW.h
PE,total,reference,2023,743.644,GW.h
QC,total,reference,2023,216877.5,GW.h
SK,total,reference,2023,24490.02,GW.h
YT,total,reference,2023,594.2391,GW.h
all,total,reference,2024,655945.7,GW.h
AB,total,reference,2024,87789.55,GW.h
BC,total,reference,2024,77481.72,GW.h
MB,total,reference,2024,41899.03,GW.h
NB,total,reference,2024,10744.65,GW.h
NL,total,reference,2024,46249.62,GW.h
NS,total,reference,2024,7933.832,GW.h
NT,total,reference,2024,366.4982,GW.h
NU,total,reference,2024,272.1072,GW.h
ON,total,reference,2024,140219.7,GW.h
PE,total,reference,2024,748.6829,GW.h
QC,total,reference,2024,216895,GW.h
SK,total,reference,2024,24761.08,GW.h
YT,total,reference,2024,584.2111,GW.h
all,total,reference,2025,658090.5,GW.h
AB,total,reference,2025,88851.06,GW.h
BC,total,reference,2025,83033.36,GW.h
MB,total,reference,2025,41899.92,GW.h
NB,total,reference,2025,10675.71,GW.h
NL,total,reference,2025,46288.02,GW.h
NS,total,reference,2025,8146.23,GW.h
NT,total,reference,2025,367.5524,GW.h
NU,total,reference,2025,273.8616,GW.h
ON,total,reference,2025,134181.9,GW.h
PE,total,reference,2025,831.3423,GW.h
QC,total,reference,2025,217771.3,GW.h
SK,total,reference,2025,25187.34,GW.h
YT,total,reference,2025,582.8947,GW.h
all,total,reference,2026,665437.7,GW.h
AB,total,reference,2026,90532.7,GW.h
BC,total,reference,2026,84276.41,GW.h
MB,total,reference,2026,42143.45,GW.h
NB,total,reference,2026,10294.82,GW.h
NL,total,reference,2026,46302.98,GW.h
NS,total,reference,2026,8265.898,GW.h
NT,total,reference,2026,368.9069,GW.h
NU,total,reference,2026,277.5451,GW.h
ON,total,reference,2026,138530,GW.h
PE,total,reference,2026,860.8528,GW.h
QC,total,reference,2026,217897.2,GW.h
SK,total,reference,2026,25116.55,GW.h
YT,total,reference,2026,570.3747,GW.h
all,total,reference,2027,674895.6,GW.h
AB,total,reference,2027,91763.91,GW.h
BC,total,reference,2027,86644.72,GW.h
MB,total,reference,2027,45043.54,GW.h
NB,total,reference,2027,9369.26,GW.h
NL,total,reference,2027,46322.02,GW.h
