province,source,scenario,year,value,unit
MB,total,reference,2020,41595.2697,GW.h
NB,total,reference,2020,11403.2007,GW.h
NL,total,reference,2020,44761.3596,GW.h
NS,total,reference,2020,10000.1547,GW.h
NT,total,reference,2020,1094.583,GW.h
NU,total,reference,2020,163.4995,GW.h
ON,total,reference,2020,160217.9945,GW.h
PE,total,reference,2020,531.6502,GW.h
QC,total,reference,2020,206479.5981,GW.h
SK,total,reference,2020,27119.4664,GW.h
YT,total,reference,2020,508.2898,GW.h
all,total,reference,2021,686599.9413000001,GW.h
AB,total,reference,2021,101521.2456,GW.h
BC,total,reference,2021,75805.1282,GW.h
MB,total,reference,2021,45352.1193,GW.h
NB,total,reference,2021,11525.0929,GW.h
NL,total,reference,2021,44760.5146,GW.h
NS,total,reference,2021,10113.8264,GW.h
NT,total,reference,2021,1094.5826,GW.h
NU,total,reference,2021,163.7616,GW.h
ON,total,reference,2021,160482.4656,GW.h
PE,total,reference,2021,531.6065,GW.h
QC,total,reference,2021,207308.2339,GW.h
SK,total,reference,2021,27410.6486,GW.h
YT,total,reference,2021,530.7155,GW.h
all,total,reference,2022,690747.5337000001,GW.h
AB,total,reference,2022,103405.9328,GW.h
BC,total,reference,2022,76342.4226,GW.h
MB,total,reference,2022,45603.6475,GW.h
NB,total,reference,2022,11611.7062,GW.h
NL,total,reference,2022,44782.1587,GW.h
NS,total,reference,2022,10184.2746,GW.h
NT,total,reference,2022,1106.7586,GW.h
NU,total,reference,2022,163.7616,GW.h
ON,total,reference,2022,160551.4365,GW.h
PE,total,reference,2022,552.6887,GW.h
QC,total,reference,2022,208170.9869,GW.h
SK,total,reference,2022,27747.1391,GW.h
YT,total,reference,2022,524.6199,GW.h
all,total,reference,2023,695744.4508,GW.h
AB,total,reference,2023,105820.1319,GW.h
BC,total,reference,2023,76914.0679,GW.h
MB,total,reference,2023,45910.2861,GW.h
NB,total,reference,2023,11695.7106,GW.h
NL,total,reference,2023,44777.1587,GW.h
NS,total,reference,2023,10269.4599,GW.h
NT,total,reference,2023,1038.9956,GW.h
NU,total,reference,2023,167.445,GW.h
ON,total,reference,2023,160766.299,GW.h
PE,total,reference,2023,571.7506,GW.h
QC,total,reference,2023,209126.1698,GW.h
SK,total,reference,2023,28174.4831,GW.h
YT,total,reference,2023,512.4926,GW.h
all,total,reference,2024,704220.8832,GW.h
AB,total,reference,2024,107888.1732,GW.h
BC,total,reference,2024,80825.148,GW.h
MB,total,reference,2024,46215.0648,GW.h
NB,total,reference,2024,11776.2249,GW.h
NL,total,reference,2024,44782.9036,GW.h
NS,total,reference,2024,10362.2354,GW.h
NT,total,reference,2024,1068.248,GW.h
NU,total,reference,2024,167.445,GW.h
ON,total,reference,2024,161192.0931,GW.h
PE,total,reference,2024,571.7506,GW.h
QC,total,reference,2024,210285.0294,GW.h
SK,total,reference,2024,28584.5469,GW.h
YT,total,reference,2024,502.0203,GW.h
all,total,reference,2025,716279.1448000001,GW.h
AB,total,reference,2025,109747.0152,GW.h
BC,total,reference,2025,81351.1502,GW.h
