province,sector,source,scenario,year,value,unit
BC,total,total,reference,2028,1210.3237,Petajoules
MB,total,total,reference,2028,310.75,Petajoules
NB,total,total,reference,2028,218.8075,Petajoules
NL,total,total,reference,2028,155.2591,Petajoules
NS,total,total,reference,2028,152.9562,Petajoules
NT,total,total,reference,2028,15.8598,Petajoules
NU,total,total,reference,2028,6.3946,Petajoules
ON,total,total,reference,2028,3118.015,Petajoules
PE,total,total,reference,2028,24.6986,Petajoules
QC,total,total,reference,2028,1796.2424,Petajoules
SK,total,total,reference,2028,713.4084,Petajoules
YT,total,total,reference,2028,7.4373,Petajoules
all,total,total,reference,2029,12082.0371,Petajoules
AB,total,total,reference,2029,4363.1024,Petajoules
BC,total,total,reference,2029,1209.2878,Petajoules
MB,total,total,reference,2029,310.2451,Petajoules
NB,total,total,reference,2029,216.818,Petajoules
NL,total,total,reference,2029,153.6738,Petajoules
NS,total,total,reference,2029,152.1409,Petajoules
NT,total,total,reference,2029,15.6719,Petajoules
NU,total,total,reference,2029,6.4084,Petajoules
ON,total,total,reference,2029,3112.0419,Petajoules
PE,total,total,reference,2029,24.6328,Petajoules
QC,total,total,reference,2029,1797.5612,Petajoules
SK,total,total,reference,2029,713.7192,Petajoules
YT,total,total,reference,2029,6.7325,Petajoules
all,total,total,reference,2030,12118.5652,Petajoules
AB,total,total,reference,2030,4408.7236,Petajoules
BC,total,total,reference,2030,1208.8945,Petajoules
MB,total,total,reference,2030,309.8701,Petajoules
NB,total,total,reference,2030,216.0918,Petajoules
NL,total,total,reference,2030,144.9345,Petajoules
NS,total,total,reference,2030,151.3864,Petajoules
NT,total,total,reference,2030,15.5019,Petajoules
NU,total,total,reference,2030,6.4197,Petajoules
ON,total,total,reference,2030,3110.8691,Petajoules
PE,total,total,reference,2030,24.5589,Petajoules
QC,total,total,reference,2030,1800.622,Petajoules
SK,total,total,reference,2030,714.1451,Petajoules
YT,total,total,reference,2030,6.5472,Petajoules
all,total,total,reference,2031,12135.648,Petajoules
AB,total,total,reference,2031,4426.7525,Petajoules
BC,total,total,reference,2031,1208.6395,Petajoules
MB,total,total,reference,2031,309.4702,Petajoules
NB,total,total,reference,2031,215.4634,Petajoules
NL,total,total,reference,2031,142.7344,Petajoules
NS,total,total,reference,2031,150.5618,Petajoules
NT,total,total,reference,2031,15.355,Petajoules
NU,total,total,reference,2031,6.4353,Petajoules
ON,total,total,reference,2031,3112.1158,Petajoules
PE,total,total,reference,2031,24.5021,Petajoules
QC,total,total,reference,2031,1802.3902,Petajoules
SK,total,total,reference,2031,714.7433,Petajoules
YT,total,total,reference,2031,6.4843,Petajoules
all,total,total,reference,2032,12134.1276,Petajoules
AB,total,total,reference,2032,4424.7483,Petajoules
BC,total,total,reference,2032,1207.8443,Petajoules
MB,total,total,reference,2032,309.0447,Petajoules
NB,total,total,reference,2032,214.7639,Petajoules
NL,total,total,reference,2032,141.8205,Petajoules
NS,total,total,reference,2032,149.6408,Petajoules
NT,total,total,reference,2032,15.2177,Petajoules
NU,total,total,reference,2032,6.4427,Petajoules
ON,total,total,reference,2032,3114.3303,Petajoules
PE,total,total,reference,2032,24.414,Petajoules
QC,total,total,reference,2032,1804.2653,Petajoules
SK,total,total,reference,2032,715.1619,Petajoules
YT,total,total,reference,2032,6.4336,Petajoules
all,total,total,reference,2033,12139.0548,Petajoules
AB,total,total,reference,2033,4427.9329,Petajoules
BC,total,total,reference,2033,1207.4348,Petajoules
MB,total,total,reference,2033,308.8468,Petajoules
NB,total,total,reference,2033,214.0671,Petajoules
