province,sector,source,scenario,year,value,unit
SK,total,total,reference,2020,676.035,Petajoules
YT,total,total,reference,2020,8.5853,Petajoules
all,total,total,reference,2021,12117.8083,Petajoules
AB,total,total,reference,2021,4218.1921,Petajoules
BC,total,total,reference,2021,1292.7756,Petajoules
MB,total,total,reference,2021,328.314,Petajoules
NB,total,total,reference,2021,238.4875,Petajoules
NL,total,total,reference,2021,150.6258,Petajoules
NS,total,total,reference,2021,167.3597,Petajoules
NT,total,total,reference,2021,4.9701,Petajoules
NU,total,total,reference,2021,17.155,Petajoules
ON,total,total,reference,2021,3127.6012,Petajoules
PE,total,total,reference,2021,27.7669,Petajoules
QC,total,total,reference,2021,1854.7483,Petajoules
SK,total,total,reference,2021,681.3306,Petajoules
YT,total,total,reference,2021,8.4834,Petajoules
all,total,total,reference,2022,12169.6307,Petajoules
AB,total,total,reference,2022,4241.4727,Petajoules
BC,total,total,reference,2022,1314.1119,Petajoules
MB,total,total,reference,2022,328.539,Petajoules
NB,total,total,reference,2022,236.1912,Petajoules
NL,total,total,reference,2022,151.9631,Petajoules
NS,total,total,reference,2022,166.8618,Petajoules
NT,total,total,reference,2022,5.5039,Petajoules
NU,total,total,reference,2022,17.0168,Petajoules
ON,total,total,reference,2022,3131.8361,Petajoules
PE,total,total,reference,2022,27.7192,Petajoules
QC,total,total,reference,2022,1855.0673,Petajoules
SK,total,total,reference,2022,684.2355,Petajoules
YT,total,total,reference,2022,9.1107,Petajoules
all,total,total,reference,2023,12232.6837,Petajoules
AB,total,total,reference,2023,4275.2092,Petajoules
BC,total,total,reference,2023,1332.5766,Petajoules
MB,total,total,reference,2023,329.9503,Petajoules
NB,total,total,reference,2023,237.4437,Petajoules
NL,total,total,reference,2023,151.7895,Petajoules
NS,total,total,reference,2023,166.3568,Petajoules
NT,total,total,reference,2023,5.5397,Petajoules
NU,total,total,reference,2023,16.8663,Petajoules
ON,total,total,reference,2023,3140.0826,Petajoules
PE,total,total,reference,2023,27.7787,Petajoules
QC,total,total,reference,2023,1856.872,Petajoules
SK,total,total,reference,2023,685.5477,Petajoules
YT,total,total,reference,2023,6.6706,Petajoules
all,total,total,reference,2024,12282.9887,Petajoules
AB,total,total,reference,2024,4291.0625,Petajoules
BC,total,total,reference,2024,1355.6741,Petajoules
MB,total,total,reference,2024,330.1971,Petajoules
NB,total,total,reference,2024,237.966,Petajoules
NL,total,total,reference,2024,151.77,Petajoules
NS,total,total,reference,2024,165.4764,Petajoules
NT,total,total,reference,2024,5.5489,Petajoules
NU,total,total,reference,2024,16.771,Petajoules
ON,total,total,reference,2024,3147.3143,Petajoules
PE,total,total,reference,2024,27.831,Petajoules
QC,total,total,reference,2024,1859.5705,Petajoules
SK,total,total,reference,2024,687.377,Petajoules
YT,total,total,reference,2024,6.4301,Petajoules
all,total,total,reference,2025,12344.9956,Petajoules
AB,total,total,reference,2025,4326.8032,Petajoules
BC,total,total,reference,2025,1373.9386,Petajoules
MB,total,total,reference,2025,330.1107,Petajoules
NB,total,total,reference,2025,239.0542,Petajoules
NL,total,total,reference,2025,151.7208,Petajoules
NS,total,total,reference,2025,164.557,Petajoules
NT,total,total,reference,2025,5.5563,Petajoules
NU,total,total,reference,2025,16.6286,Petajoules
ON,total,total,reference,2025,3151.6762,Petajoules
PE,total,total,reference,2025,27.79,Petajoules
QC,total,total,reference,2025,1862.3862,Petajoules
SK,total,total,reference,2025,688.5797,Petajoules
YT,total,total,reference,2025,6.1931,Petajoules
all,total,total,reference,2026,12425.6723,Petajoules
AB,total,total,reference,2026,4402.8829,Petajoules
BC,total,total,reference,2026,1384.3533,Petajoules
MB,total,total,reference,2026,329.704,Petajoules
NB,total,total,reference,2026,234.8922,Petajoules
NL,total,total,reference,2026,148.87,Petajoules
NS,total,total,reference,2026,163.5718,Petajoules
NT,total,total,reference,2026,5.5652,Petajoules
NU,total,total,reference,2026,16.4866,Petajoules
ON,total,total,reference,2026,3153.7945,Petajoules
PE,total,total,reference,2026,27.8355,Petajoules
QC,total,total,reference,2026,1864.2809,Petajoules
SK,total,total,reference,2026,687.5345,Petajoules
YT,total,total,reference,2026,5.9008,Petajoules
all,total,total,reference,2027,12468.5437,Petajoules
AB,total,total,reference,2027,4443.2892,Petajoules
BC,total,total,reference,2027,1387.5559,Petajoules
MB,total,total,reference,2027,329.4744,Petajoules
NB,total,total,reference,2027,233.9101,Petajoules
NL,total,total,reference,2027,145.9656,Petajoules
NS,total,total,reference,2027,162.7952,Petajoules
NT,total,total,reference,2027,5.5734,Petajoules
NU,total,total,reference,2027,16.331,Petajoules
ON,total,total,reference,2027,3157.2864,Petajoules
PE,total,total,reference,2027,27.7773,Petajoules
QC,total,total,reference,2027,1866.9696,Petajoules
SK,total,total,reference,2027,685.757,Petajoules
YT,total,total,reference,2027,5.8576,Petajoules
all,total,total,reference,2028,12486.4553,Petajoules
AB,total,total,reference,2028,4461.3423,Petajoules
BC,total,total,reference,2028,1387.9485,Petajoules
MB,total,total,reference,2028,329.6351,Petajoules
NB,total,total,reference,2028,233.0728,Petajoules
NL,total,total,reference,2028,141.797,Petajoules
NS,total,total,reference,2028,162.0591,Petajoules
NT,total,total,reference,2028,5.5836,Petajoules
NU,total,total,reference,2028,16.2241,Petajoules
ON,total,total,reference,2028,3161.7464,Petajoules
PE,total,total,reference,2028,27.8376,Petajoules
QC,total,total,reference,2028,1869.7694,Petajoules
SK,total,total,reference,2028,683.6584,Petajoules
YT,total,total,reference,2028,5.7806,Petajoules
all,total,total,reference,2029,12533.5988,Petajoules
AB,total,total,reference,2029,4503.3986,Petajoules
BC,total,total,reference,2029,1389.1347,Petajoules
MB,total,total,reference,2029,330.0594,Petajoules
NB,total,total,reference,2029,232.6905,Petajoules
NL,total,total,reference,2029,140.1196,Petajoules
NS,total,total,reference,2029,161.4549,Petajoules
NT,total,total,reference,2029,5.591,Petajoules
NU,total,total,reference,2029,16.1635,Petajoules
ON,total,total,reference,2029,3166.107,Petajoules
PE,total,total,reference,2029,27.8044,Petajoules
QC,total,total,reference,2029,1874.1435,Petajoules
SK,total,total,reference,2029,681.2627,Petajoules
YT,total,total,reference,2029,5.6678,Petajoules
all,total,total,reference,2030,12608.3195,Petajoules
AB,total,total,reference,2030,4566.3006,Petajoules
BC,total,total,reference,2030,1392.3348,Petajoules
MB,total,total,reference,2030,331.1569,Petajoules
NB,total,total,reference,2030,232.3381,Petajoules
NL,total,total,reference,2030,138.6231,Petajoules
NS,total,total,reference,2030,160.7672,Petajoules
NT,total,total,reference,2030,5.5962,Petajoules
NU,total,total,reference,2030,16.0505,Petajoules
ON,total,total,reference,2030,3172.6148,Petajoules
PE,total,total,reference,2030,27.871,Petajoules
QC,total,total,reference,2030,1880.1947,Petajoules
SK,total,total,reference,2030,678.8238,Petajoules
YT,total,total,reference,2030,5.6473,Petajoules
all,total,total,reference,2031,12680.8574,Petajoules
AB,total,total,reference,2031,4618.3381,Petajoules
BC,total,total,reference,2031,1397.1268,Petajoules
MB,total,total,reference,2031,332.1756,Petajoules
NB,total,total,reference,2031,232.1863,Petajoules
NL,total,total,reference,2031,142.91,Petajoules
NS,total,total,reference,2031,160.1942,Petajoules
NT,total,total,reference,2031,5.6055,Petajoules
NU,total,total,reference,2031,15.989,Petajoules
ON,total,total,reference,2031,3180.4444,Petajoules
PE,total,total,reference,2031,27.8159,Petajoules
QC,total,total,reference,2031,1886.3929,Petajoules
SK,total,total,reference,2031,676.0043,Petajoules
YT,total,total,reference,2031,5.673,Petajoules
all,total,total,reference,2032,12710.2934,Petajoules
AB,total,total,reference,2032,4631.5817,Petajoules
BC,total,total,reference,2032,1400.7329,Petajoules
MB,total,total,reference,2032,333.1605,Petajoules
NB,total,total,reference,2032,231.9128,Petajoules
NL,total,total,reference,2032,144.5838,Petajoules
NS,total,total,reference,2032,159.5548,Petajoules
NT,total,total,reference,2032,5.614,Petajoules
NU,total,total,reference,2032,15.9293,Petajoules
ON,total,total,reference,2032,3188.2702,Petajoules
PE,total,total,reference,2032,27.8532,Petajoules
QC,total,total,reference,2032,1892.4675,Petajoules
SK,total,total,reference,2032,672.9118,Petajoules
YT,total,total,reference,2032,5.7205,Petajoules
all,total,total,reference,2033,12741.281,Petajoules
AB,total,total,reference,2033,4647.5487,Petajoules
BC,total,total,reference,2033,1404.9123,Petajoules
MB,total,total,reference,2033,334.0359,Petajoules
NB,total,total,reference,2033,231.6118,Petajoules
NL,total,total,reference,2033,143.9499,Petajoules
NS,total,total,reference,2033,158.9254,Petajoules
NT,total,total,reference,2033,5.6286,Petajoules
NU,total,total,reference,2033,15.8808,Petajoules
ON,total,total,reference,2033,3196.2668,Petajoules
PE,total,total,reference,2033,27.7811,Petajoules
QC,total,total,reference,2033,1899.4038,Petajoules
SK,total,total,reference,2033,669.7816,Petajoules
YT,total,total,reference,2033,5.5541,Petajoules
all,total,total,reference,2034,12780.6687,Petajoules
AB,total,total,reference,2034,4671.7772,Petajoules
BC,total,total,reference,2034,1408.9145,Petajoules
MB,total,total,reference,2034,334.814,Petajoules
NB,total,total,reference,2034,231.3123,Petajoules
NL,total,total,reference,2034,143.5508,Petajoules
NS,total,total,reference,2034,158.2848,Petajoules
NT,total,total,reference,2034,5.6446,Petajoules
NU,total,total,reference,2034,15.8371,Petajoules
ON,total,total,reference,2034,3204.3127,Petajoules
PE,total,total,reference,2034,27.803,Petajoules
QC,total,total,reference,2034,1906.3129,Petajoules
SK,total,total,reference,2034,666.5865,Petajoules
YT,total,total,reference,2034,5.52,Petajoules
all,total,total,reference,2035,12811.9696,Petajoules
AB,total,total,reference,2035,4691.7209,Petajoules
BC,total,total,reference,2035,1410.6081,Petajoules
MB,total,total,reference,2035,335.3996,Petajoules
NB,total,total,reference,2035,231.0341,Petajoules
