province,type,scenario,year,value,unit
PE,Total,reference,2026,0,Thousand cubic metres
QC,Total,reference,2026,0,Thousand cubic metres
SK,Total,reference,2026,94.9757253432401,Thousand cubic metres
YT,Total,reference,2026,0,Thousand cubic metres
all,Total,reference,2027,938.195812351853,Thousand cubic metres
AB,Total,reference,2027,697.825859468423,Thousand cubic metres
BC,Total,reference,2027,2.49050831264472,Thousand cubic metres
MB,Total,reference,2027,3.08282141484884,Thousand cubic metres
NB,Total,reference,2027,0,Thousand cubic metres
NL,Total,reference,2027,38.7237131480976,Thousand cubic metres
NS,Total,reference,2027,0,Thousand cubic metres
NT,Total,reference,2027,1.07897572556949,Thousand cubic metres
NU,Total,reference,2027,0,Thousand cubic metres
ON,Total,reference,2027,0.136133546088564,Thousand cubic metres
PE,Total,reference,2027,0,Thousand cubic metres
QC,Total,reference,2027,0,Thousand cubic metres
SK,Total,reference,2027,96.6767268480225,Thousand cubic metres
YT,Total,reference,2027,0,Thousand cubic metres
all,Total,reference,2028,947.350597453998,Thousand cubic metres
AB,Total,reference,2028,706.292791908198,Thousand cubic metres
BC,Total,reference,2028,2.50703517020127,Thousand cubic metres
MB,Total,reference,2028,3.018635324925,Thousand cubic metres
NB,Total,reference,2028,0,Thousand cubic metres
NL,Total,reference,2028,36.4769842785178,Thousand cubic metres
NS,Total,reference,2028,0,Thousand cubic metres
NT,Total,reference,2028,1.02526750841868,Thousand cubic metres
NU,Total,reference,2028,0,Thousand cubic metres
ON,Total,reference,2028,0.132021757349562,Thousand cubic metres
PE,Total,reference,2028,0,Thousand cubic metres
QC,Total,reference,2028,0,Thousand cubic metres
SK,Total,reference,2028,98.23922988176,Thousand cubic metres
YT,Total,reference,2028,0,Thousand cubic metres
all,Total,reference,2029,962.827724186822,Thousand cubic metres
AB,Total,reference,2029,719.801080736866,Thousand cubic metres
BC,Total,reference,2029,2.53020483621367,Thousand cubic metres
MB,Total,reference,2029,2.96715044183261,Thousand cubic metres
NB,Total,reference,2029,0,Thousand cubic metres
NL,Total,reference,2029,35.7192688156653,Thousand cubic metres
NS,Total,reference,2029,0,Thousand cubic metres
NT,Total,reference,2029,0.984150009383142,Thousand cubic metres
NU,Total,reference,2029,0,Thousand cubic metres
ON,Total,reference,2029,0.129340065403399,Thousand cubic metres
PE,Total,reference,2029,0,Thousand cubic metres
QC,Total,reference,2029,0,Thousand cubic metres
SK,Total,reference,2029,99.5845917179009,Thousand cubic metres
YT,Total,reference,2029,0,Thousand cubic metres
all,Total,reference,2030,983.453601051934,Thousand cubic metres
AB,Total,reference,2030,737.279102635251,Thousand cubic metres
BC,Total,reference,2030,2.55713290634691,Thousand cubic metres
MB,Total,reference,2030,2.92508687690452,Thousand cubic metres
NB,Total,reference,2030,0,Thousand cubic metres
NL,Total,reference,2030,34.6383351496759,Thousand cubic metres
NS,Total,reference,2030,0,Thousand cubic metres
NT,Total,reference,2030,0.944576819532156,Thousand cubic metres
NU,Total,reference,2030,0,Thousand cubic metres
ON,Total,reference,2030,0.126698805120424,Thousand cubic metres
PE,Total,reference,2030,0,Thousand cubic metres
QC,Total,reference,2030,0,Thousand cubic metres
SK,Total,reference,2030,100.796633609139,Thousand cubic metres
YT,Total,reference,2030,0,Thousand cubic metres
all,Total,reference,2031,1004.49715715651,Thousand cubic metres
AB,Total,reference,2031,754.863384299327,Thousand cubic metres
BC,Total,reference,2031,2.58776905337077,Thousand cubic metres
MB,Total,reference,2031,2.89157764810033,Thousand cubic metres
NB,Total,reference,2031,0,Thousand cubic metres
NL,Total,reference,2031,32.3768696786621,Thousand cubic metres
NS,Total,reference,2031,0,Thousand cubic metres
NT,Total,reference,2031,0.906492286063786,Thousand cubic metres
NU,Total,reference,2031,0,Thousand cubic metres
ON,Total,reference,2031,0.124097436036569,Thousand cubic metres
PE,Total,reference,2031,0,Thousand cubic metres
QC,Total,reference,2031,0,Thousand cubic metres
SK,Total,reference,2031,101.974556017814,Thousand cubic metres
YT,Total,reference,2031,0,Thousand cubic metres
all,Total,reference,2032,1019.31533952521,Thousand cubic metres
AB,Total,reference,2032,767.718391759929,Thousand cubic metres
BC,Total,reference,2032,2.62400742248318,Thousand cubic metres
MB,Total,reference,2032,2.86676942824925,Thousand cubic metres
NB,Total,reference,2032,0,Thousand cubic metres
NL,Total,reference,2032,29.375563899335,Thousand cubic metres
NS,Total,reference,2032,0,Thousand cubic metres
NT,Total,reference,2032,0.869842705465938,Thousand cubic metres
NU,Total,reference,2032,0,Thousand cubic metres
ON,Total,reference,2032,0.121535424453878,Thousand cubic metres
PE,Total,reference,2032,0,Thousand cubic metres
QC,Total,reference,2032,0,Thousand cubic metres
SK,Total,reference,2032,103.17184695472,Thousand cubic metres
YT,Total,reference,2032,0,Thousand cubic metres
all,Total,reference,2033,1032.70814633787,Thousand cubic metres
AB,Total,reference,2033,778.209897460568,Thousand cubic metres
BC,Total,reference,2033,2.66567943731927,Thousand cubic metres
MB,Total,reference,2033,2.85165505021969,Thousand cubic metres
NB,Total,reference,2033,0,Thousand cubic metres
NL,Total,reference,2033,27.9131227671479,Thousand cubic metres
NS,Total,reference,2033,0,Thousand cubic metres
NT,Total,reference,2033,0.84374742430196,Thousand cubic metres
NU,Total,reference,2033,0,Thousand cubic metres
ON,Total,reference,2033,0.12032007020934,Thousand cubic metres
PE,Total,reference,2033,0,Thousand cubic metres
QC,Total,reference,2033,0,Thousand cubic metres
SK,Total,reference,2033,104.37402397178,Thousand cubic metres
YT,Total,reference,2033,0,Thousand cubic metres
all,Total,reference,2034,1043.06407477682,Thousand cubic metres
AB,Total,reference,2034,784.499980142691,Thousand cubic metres
BC,Total,reference,2034,2.71262530107359,Thousand cubic metres
MB,Total,reference,2034,2.84662529166028,Thousand cubic metres
NB,Total,reference,2034,0,Thousand cubic metres
NL,Total,reference,2034,27.3983230141021,Thousand cubic metres
NS,Total,reference,2034,0,Thousand cubic metres
NT,Total,reference,2034,0.809538968947109,Thousand cubic metres
NU,Total,reference,2034,0,Thousand cubic metres
ON,Total,reference,2034,0.117822120925646,Thousand cubic metres
PE,Total,reference,2034,0,Thousand cubic metres
QC,Total,reference,2034,0,Thousand cubic metres
SK,Total,reference,2034,105.656497671664,Thousand cubic metres
YT,Total,reference,2034,0,Thousand cubic metres
all,Total,reference,2035,1054.82658061682,Thousand cubic metres
