province,type,scenario,year,value,unit
NS,Total,reference,2022,0,Million cubic metres Per Day
NT,Total,reference,2022,0.03710393188,Million cubic metres Per Day
NU,Total,reference,2022,0,Million cubic metres Per Day
ON,Total,reference,2022,0.007623043842,Million cubic metres Per Day
PE,Total,reference,2022,0,Million cubic metres Per Day
QC,Total,reference,2022,0,Million cubic metres Per Day
SK,Total,reference,2022,11.13165157,Million cubic metres Per Day
YT,Total,reference,2022,0,Million cubic metres Per Day
all,Total,reference,2023,414.805466,Million cubic metres Per Day
AB,Total,reference,2023,270.6228695,Million cubic metres Per Day
BC,Total,reference,2023,132.8515929,Million cubic metres Per Day
MB,Total,reference,2023,0,Million cubic metres Per Day
NB,Total,reference,2023,0.1192582301,Million cubic metres Per Day
NL,Total,reference,2023,0,Million cubic metres Per Day
NS,Total,reference,2023,0,Million cubic metres Per Day
NT,Total,reference,2023,0.02738264035,Million cubic metres Per Day
NU,Total,reference,2023,0,Million cubic metres Per Day
ON,Total,reference,2023,0.003932078601,Million cubic metres Per Day
PE,Total,reference,2023,0,Million cubic metres Per Day
QC,Total,reference,2023,0,Million cubic metres Per Day
SK,Total,reference,2023,11.18043064,Million cubic metres Per Day
YT,Total,reference,2023,0,Million cubic metres Per Day
all,Total,reference,2024,415.6033402,Million cubic metres Per Day
AB,Total,reference,2024,270.3010762,Million cubic metres Per Day
BC,Total,reference,2024,133.9571995,Million cubic metres Per Day
MB,Total,reference,2024,0,Million cubic metres Per Day
NB,Total,reference,2024,0.1073324071,Million cubic metres Per Day
NL,Total,reference,2024,0,Million cubic metres Per Day
NS,Total,reference,2024,0,Million cubic metres Per Day
NT,Total,reference,2024,0.02020834329,Million cubic metres Per Day
NU,Total,reference,2024,0,Million cubic metres Per Day
ON,Total,reference,2024,0.001960973075,Million cubic metres Per Day
PE,Total,reference,2024,0,Million cubic metres Per Day
QC,Total,reference,2024,0,Million cubic metres Per Day
SK,Total,reference,2024,11.2155628,Million cubic metres Per Day
YT,Total,reference,2024,0,Million cubic metres Per Day
all,Total,reference,2025,417.1162544,Million cubic metres Per Day
AB,Total,reference,2025,270.6173028,Million cubic metres Per Day
BC,Total,reference,2025,135.1477066,Million cubic metres Per Day
MB,Total,reference,2025,0,Million cubic metres Per Day
NB,Total,reference,2025,0.09659916639,Million cubic metres Per Day
NL,Total,reference,2025,0,Million cubic metres Per Day
NS,Total,reference,2025,0,Million cubic metres Per Day
NT,Total,reference,2025,0.01491372392,Million cubic metres Per Day
NU,Total,reference,2025,0,Million cubic metres Per Day
ON,Total,reference,2025,0.0009456771683,Million cubic metres Per Day
PE,Total,reference,2025,0,Million cubic metres Per Day
QC,Total,reference,2025,0,Million cubic metres Per Day
SK,Total,reference,2025,11.23878641,Million cubic metres Per Day
YT,Total,reference,2025,0,Million cubic metres Per Day
all,Total,reference,2026,418.8580989,Million cubic metres Per Day
AB,Total,reference,2026,271.2414749,Million cubic metres Per Day
BC,Total,reference,2026,136.2556443,Million cubic metres Per Day
MB,Total,reference,2026,0,Million cubic metres Per Day
NB,Total,reference,2026,0.08693924975,Million cubic metres Per Day
NL,Total,reference,2026,0,Million cubic metres Per Day
NS,Total,reference,2026,0,Million cubic metres Per Day
NT,Total,reference,2026,0.01100630358,Million cubic metres Per Day
NU,Total,reference,2026,0,Million cubic metres Per Day
ON,Total,reference,2026,0.0004410634947,Million cubic metres Per Day
PE,Total,reference,2026,0,Million cubic metres Per Day
QC,Total,reference,2026,0,Million cubic metres Per Day
SK,Total,reference,2026,11.26259314,Million cubic metres Per Day
YT,Total,reference,2026,0,Million cubic metres Per Day
all,Total,reference,2027,420.9234353,Million cubic metres Per Day
AB,Total,reference,2027,272.1915527,Million cubic metres Per Day
BC,Total,reference,2027,137.3575098,Million cubic metres Per Day
MB,Total,reference,2027,0,Million cubic metres Per Day
NB,Total,reference,2027,0.07824532477,Million cubic metres Per Day
NL,Total,reference,2027,0,Million cubic metres Per Day
NS,Total,reference,2027,0,Million cubic metres Per Day
NT,Total,reference,2027,0.008122633836,Million cubic metres Per Day
