province,type,scenario,year,value,unit
PE,Total,reference,2018,0,Thousand cubic metres
QC,Total,reference,2018,0,Thousand cubic metres
SK,Total,reference,2018,78.13343009,Thousand cubic metres
YT,Total,reference,2018,0,Thousand cubic metres
all,Total,reference,2019,746.6306467,Thousand cubic metres
AB,Total,reference,2019,609.3059447,Thousand cubic metres
BC,Total,reference,2019,9.534814157,Thousand cubic metres
MB,Total,reference,2019,4.302800329,Thousand cubic metres
NB,Total,reference,2019,0,Thousand cubic metres
NL,Total,reference,2019,43.21659877,Thousand cubic metres
NS,Total,reference,2019,0.2866297115,Thousand cubic metres
NT,Total,reference,2019,1.212923077,Thousand cubic metres
NU,Total,reference,2019,0,Thousand cubic metres
ON,Total,reference,2019,0.1498807192,Thousand cubic metres
PE,Total,reference,2019,0,Thousand cubic metres
QC,Total,reference,2019,0,Thousand cubic metres
SK,Total,reference,2019,78.62105521,Thousand cubic metres
YT,Total,reference,2019,0,Thousand cubic metres
all,Total,reference,2020,761.7653826,Thousand cubic metres
AB,Total,reference,2020,623.0325837,Thousand cubic metres
BC,Total,reference,2020,9.667931078,Thousand cubic metres
MB,Total,reference,2020,3.904491671,Thousand cubic metres
NB,Total,reference,2020,0,Thousand cubic metres
NL,Total,reference,2020,42.85195283,Thousand cubic metres
NS,Total,reference,2020,0.2436352548,Thousand cubic metres
NT,Total,reference,2020,1.30584058,Thousand cubic metres
NU,Total,reference,2020,0,Thousand cubic metres
ON,Total,reference,2020,0.1497061107,Thousand cubic metres
PE,Total,reference,2020,0,Thousand cubic metres
QC,Total,reference,2020,0,Thousand cubic metres
SK,Total,reference,2020,80.60924133,Thousand cubic metres
YT,Total,reference,2020,0,Thousand cubic metres
all,Total,reference,2021,777.4348854,Thousand cubic metres
AB,Total,reference,2021,633.2187857,Thousand cubic metres
BC,Total,reference,2021,10.07200395,Thousand cubic metres
MB,Total,reference,2021,3.610191675,Thousand cubic metres
NB,Total,reference,2021,0,Thousand cubic metres
NL,Total,reference,2021,44.79508084,Thousand cubic metres
NS,Total,reference,2021,0,Thousand cubic metres
NT,Total,reference,2021,1.321794138,Thousand cubic metres
NU,Total,reference,2021,0,Thousand cubic metres
ON,Total,reference,2021,0.147546161,Thousand cubic metres
PE,Total,reference,2021,0,Thousand cubic metres
QC,Total,reference,2021,0,Thousand cubic metres
SK,Total,reference,2021,84.26948294,Thousand cubic metres
YT,Total,reference,2021,0,Thousand cubic metres
all,Total,reference,2022,792.9071859,Thousand cubic metres
