province,source,scenario,year,value,unit
QC,total,reference,2024,213944.7553,GW.h
SK,total,reference,2024,23740.5762,GW.h
YT,total,reference,2024,646.5661,GW.h
all,total,reference,2025,662103.1602,GW.h
AB,total,reference,2025,95182.8399,GW.h
BC,total,reference,2025,71182.591,GW.h
MB,total,reference,2025,40738.3453,GW.h
NB,total,reference,2025,12343.0862,GW.h
NL,total,reference,2025,43538.6563,GW.h
NS,total,reference,2025,7617.0438,GW.h
NT,total,reference,2025,588.5492,GW.h
NU,total,reference,2025,205.6397,GW.h
ON,total,reference,2025,149999.9324,GW.h
PE,total,reference,2025,1028.386,GW.h
QC,total,reference,2025,214820.3359,GW.h
SK,total,reference,2025,24143.7878,GW.h
YT,total,reference,2025,713.9667,GW.h
all,total,reference,2026,671415.2987,GW.h
AB,total,reference,2026,96153.3915,GW.h
BC,total,reference,2026,71589.3509,GW.h
MB,total,reference,2026,40976.683,GW.h
NB,total,reference,2026,12409.9578,GW.h
NL,total,reference,2026,43540.5488,GW.h
NS,total,reference,2026,7701.9426,GW.h
NT,total,reference,2026,589.0476,GW.h
NU,total,reference,2026,205.7707,GW.h
ON,total,reference,2026,157092.2675,GW.h
PE,total,reference,2026,1028.386,GW.h
QC,total,reference,2026,215043.8414,GW.h
SK,total,reference,2026,24394.1806,GW.h
YT,total,reference,2026,689.9303,GW.h
all,total,reference,2027,676866.1186,GW.h
AB,total,reference,2027,96760.5164,GW.h
BC,total,reference,2027,71940.0967,GW.h
MB,total,reference,2027,43797.774,GW.h
NB,total,reference,2027,11267.8945,GW.h
NL,total,reference,2027,43580.0155,GW.h
NS,total,reference,2027,7794.1986,GW.h
NT,total,reference,2027,591.7286,GW.h
NU,total,reference,2027,205.8146,GW.h
ON,total,reference,2027,159444.899,GW.h
PE,total,reference,2027,1028.386,GW.h
QC,total,reference,2027,215043.9429,GW.h
SK,total,reference,2027,24743.2616,GW.h
YT,total,reference,2027,667.5902,GW.h
all,total,reference,2028,686166.5565,GW.h
AB,total,reference,2028,94175.2445,GW.h
BC,total,reference,2028,75258.5101,GW.h
MB,total,reference,2028,43797.763,GW.h
NB,total,reference,2028,10624.0815,GW.h
NL,total,reference,2028,43577.406,GW.h
NS,total,reference,2028,7892.2481,GW.h
NT,total,reference,2028,592.8368,GW.h
NU,total,reference,2028,206.3393,GW.h
ON,total,reference,2028,166930.5035,GW.h
PE,total,reference,2028,1028.386,GW.h
QC,total,reference,2028,216515.2234,GW.h
SK,total,reference,2028,24933.4046,GW.h
YT,total,reference,2028,634.6097,GW.h
all,total,reference,2029,692405.5309,GW.h
AB,total,reference,2029,94991.9986,GW.h
BC,total,reference,2029,75550.5269,GW.h
MB,total,reference,2029,48142.27,GW.h
NB,total,reference,2029,10646.6779,GW.h
NL,total,reference,2029,43627.6907,GW.h
NS,total,reference,2029,7968.3616,GW.h
NT,total,reference,2029,591.1437,GW.h
NU,total,reference,2029,209.3993,GW.h
ON,total,reference,2029,167320.3715,GW.h
