province,sector,source,scenario,year,value,unit
all,total,total,reference,2018,11798.7686,Petajoules
AB,total,total,reference,2018,3993.1446,Petajoules
BC,total,total,reference,2018,1206.3489,Petajoules
MB,total,total,reference,2018,317.9437,Petajoules
NB,total,total,reference,2018,224.9437,Petajoules
NL,total,total,reference,2018,164.0115,Petajoules
NS,total,total,reference,2018,165.5187,Petajoules
NT,total,total,reference,2018,20.1621,Petajoules
NU,total,total,reference,2018,5.6346,Petajoules
ON,total,total,reference,2018,3155.4752,Petajoules
PE,total,total,reference,2018,25.6659,Petajoules
QC,total,total,reference,2018,1805.6899,Petajoules
SK,total,total,reference,2018,710.712,Petajoules
YT,total,total,reference,2018,3.5168,Petajoules
all,total,total,reference,2019,11901.2532,Petajoules
AB,total,total,reference,2019,4037.2785,Petajoules
BC,total,total,reference,2019,1214.5631,Petajoules
MB,total,total,reference,2019,318.6938,Petajoules
NB,total,total,reference,2019,230.9917,Petajoules
NL,total,total,reference,2019,169.0493,Petajoules
NS,total,total,reference,2019,164.2585,Petajoules
NT,total,total,reference,2019,19.3348,Petajoules
NU,total,total,reference,2019,5.6393,Petajoules
ON,total,total,reference,2019,3187.3035,Petajoules
PE,total,total,reference,2019,25.6459,Petajoules
QC,total,total,reference,2019,1818.3561,Petajoules
SK,total,total,reference,2019,706.0091,Petajoules
YT,total,total,reference,2019,4.1304,Petajoules
all,total,total,reference,2020,11948.1805,Petajoules
AB,total,total,reference,2020,4076.5788,Petajoules
BC,total,total,reference,2020,1215.876,Petajoules
MB,total,total,reference,2020,318.739,Petajoules
NB,total,total,reference,2020,231.7653,Petajoules
NL,total,total,reference,2020,167.2823,Petajoules
NS,total,total,reference,2020,162.4486,Petajoules
NT,total,total,reference,2020,18.6267,Petajoules
NU,total,total,reference,2020,5.6331,Petajoules
ON,total,total,reference,2020,3191.8625,Petajoules
PE,total,total,reference,2020,25.6556,Petajoules
QC,total,total,reference,2020,1822.0029,Petajoules
SK,total,total,reference,2020,707.1,Petajoules
YT,total,total,reference,2020,4.6101,Petajoules
all,total,total,reference,2021,12015.2075,Petajoules
AB,total,total,reference,2021,4144.8914,Petajoules
BC,total,total,reference,2021,1217.1484,Petajoules
MB,total,total,reference,2021,318.2498,Petajoules
NB,total,total,reference,2021,230.6948,Petajoules
